Date,Stock,Open,High,Low ,Last,Volume,,,
05/05/20,GO,10.98,11.5,10.68,11.08,"588,000.00",,,
05/05/20,8990P,98.8,99,98.8,99,"6,360.00",,,
05/05/20,AB,10.88,10.88,10.88,10.88,200.00,,,
05/05/20,ABA,0.58,0.58,0.55,0.56,"5,370,000.00",,,
05/05/20,ABG,7.9,7.9,7.3,7.58,"13,700.00",,,
05/05/20,ABS,17.22,17.6,17,17,"1,180,000.00",,,
05/05/20,ABSP,16.3,16.3,15.02,15.02,"390,100.00",,,
05/05/20,AC,577.5,577.5,555,560,"276,190.00",,,
05/05/20,ACE,1.19,1.19,1.19,1.19,"3,000.00",,,
05/05/20,ACEPH,2.29,2.29,2.18,2.2,"9,940,000.00",,,
05/05/20,ACEX,6.79,6.9,6.4,6.7,"49,900.00",,,
05/05/20,ACR,0.93,0.95,0.91,0.95,"25,000.00",,,
05/05/20,AEV,41,41,39.2,40.05,"788,200.00",,,
05/05/20,AGI,6.35,6.35,6.02,6.02,"8,530,000.00",,,
05/05/20,ALCO,0.56,0.58,0.56,0.58,"1,360,000.00",,,
05/05/20,ALCPB,100,100,100,100,"1,100.00",,,
05/05/20,ALI,31.7,31.8,30.75,31.8,"13,080,000.00",,,
05/05/20,ALLHC,1.96,1.97,1.82,1.94,"2,180,000.00",,,
05/05/20,ANI,8.42,8.42,8.16,8.28,"706,100.00",,,
05/05/20,ANS,6,6,6,6,"3,900.00",,,
05/05/20,AP,27.4,27.4,26.05,26.2,"95,380.00",,,
05/05/20,APB2R,491,491,491,491,10.00,,,
05/05/20,APC,0.31,0.325,0.31,0.325,"380,000.00",,,
05/05/20,APL,0.042,0.042,0.038,0.04,"32,800,000.00",,,
05/05/20,APO,0.54,0.54,0.54,0.54,"76,000.00",,,
05/05/20,APX,0.94,0.94,0.9,0.92,"908,000.00",,,
05/05/20,AR,0.0011,0.0011,0.0011,0.0011,"12,000,000.00",,,
05/05/20,ARA,1.12,1.3,1.12,1.16,"1,460,000.00",,,
05/05/20,AT,1.8,1.81,1.8,1.8,"37,000.00",,,
05/05/20,ATI,16.44,18.8,16.44,17.94,"1,400.00",,,
05/05/20,ATN,0.57,0.58,0.52,0.52,"5,140,000.00",,,
05/05/20,ATNB,0.61,0.61,0.56,0.56,"595,000.00",,,
05/05/20,AUB,45.55,47.5,45.55,47.5,"3,900.00",,,
05/05/20,AXLM,2.94,3.04,2.83,3.02,"3,280,000.00",,,
05/05/20,BC,0.98,0.98,0.98,0.98,"5,000.00",,,
05/05/20,BCOR,2.36,2.58,2.36,2.4,"796,000.00",,,
05/05/20,BDO,100,100.7,98,98.9,"248,000.00",,,
05/05/20,BEL,1.38,1.4,1.38,1.38,"141,000.00",,,
05/05/20,BHI,0.029,0.029,0.027,0.027,"15,400,000.00",,,
05/05/20,BLOOM,5.52,5.53,5.38,5.41,"9,730,000.00",,,
05/05/20,BMM,86.95,86.95,86.95,86.95,40.00,,,
05/05/20,BPI,58.5,58.5,57.8,58,"3,420,000.00",,,
05/05/20,BRN,0.56,0.58,0.55,0.57,"547,000.00",,,
05/05/20,C,3.3,3.34,3.15,3.16,"842,000.00",,,
05/05/20,CA,55.2,60,55.2,58,570.00,,,
05/05/20,CAB,64.5,64.5,64,64,240.00,,,
05/05/20,CDC,0.75,0.75,0.73,0.75,"14,000.00",,,
05/05/20,CEB,48,48,45,46.85,"274,100.00",,,
05/05/20,CEI,0.123,0.123,0.123,0.123,"10,000.00",,,
05/05/20,CEU,6.26,6.26,6.26,6.26,"1,100.00",,,
05/05/20,CHIB,19.74,19.82,19.72,19.74,"138,700.00",,,
05/05/20,CHP,1.11,1.11,1.05,1.06,"8,240,000.00",,,
05/05/20,CIC,25.7,25.7,23.95,24,"3,000.00",,,
05/05/20,CLI,4,4.14,4,4.13,"386,000.00",,,
05/05/20,CNPF,14.32,14.4,14.2,14.3,"559,500.00",,,
05/05/20,COAL,0.204,0.204,0.204,0.204,"10,000.00",,,
05/05/20,COL,15.5,15.88,15.5,15.5,"2,400.00",,,
05/05/20,COSCO,5,5,4.85,4.85,"395,000.00",,,
05/05/20,CPG,0.36,0.36,0.35,0.36,"1,840,000.00",,,
05/05/20,CPGP,99.1,99.5,99.1,99.5,"2,520.00",,,
05/05/20,CPM,2.69,2.74,2.69,2.73,"250,000.00",,,
05/05/20,CROWN,1.74,1.74,1.74,1.74,"5,000.00",,,
05/05/20,DD,16.16,16.16,15.92,15.92,"216,300.00",,,
05/05/20,DDPR,99.1,100,99,100,"34,970.00",,,
05/05/20,DELM,3.74,3.95,3.74,3.95,"128,000.00",,,
05/05/20,DFNN,2.9,2.9,2.8,2.8,"86,000.00",,,
05/05/20,DITO,2.12,2.18,2.1,2.14,"18,710,000.00",,,
05/05/20,DMC,4.14,4.15,4.04,4.15,"6,890,000.00",,,
05/05/20,DMPA2,9.7,9.7,9.7,9.7,"2,090.00",,,
05/05/20,DMW,7,7,6.9,6.9,"73,600.00",,,
05/05/20,DNL,5.29,5.34,5.18,5.23,"1,320,000.00",,,
05/05/20,DWC,1.83,1.83,1.6,1.82,"11,000.00",,,
05/05/20,EAGLE,8.22,8.44,8.22,8.37,"159,700.00",,,
05/05/20,ECP,7.8,8.3,7,7.8,"285,500.00",,,
05/05/20,EEI,5.28,5.28,5.11,5.11,"3,420,000.00",,,
05/05/20,ELI,0.325,0.325,0.325,0.325,"100,000.00",,,
05/05/20,EMP,7.9,7.9,7.85,7.9,"1,020,000.00",,,
05/05/20,EURO,2.76,2.76,2.5,2.67,"1,610,000.00",,,
05/05/20,EW,7.85,7.85,7.7,7.76,182.70,,,
05/05/20,FB,58.9,59,57.6,59,"352,660.00",,,
05/05/20,FDC,8.5,8.5,8.5,8.5,"401,000.00",,,
05/05/20,FERRO,2.79,2.79,2.7,2.72,"63,000.00",,,
05/05/20,FGEN,18.96,18.96,18.5,18.74,"726,700.00",,,
05/05/20,FGENG,107.4,107.4,107.4,107.4,10.00,,,
05/05/20,FLI,0.94,0.96,0.93,0.94,"7,840,000.00",,,
05/05/20,FMETF,86.25,86.25,84,84,"38,350.00",,,
05/05/20,FNI,0.87,0.89,0.83,0.88,"327,000.00",,,
05/05/20,FOOD,0.56,0.56,0.53,0.53,"652,000.00",,,
05/05/20,FPH,57.35,57.8,57.15,57.45,"22,700.00",,,
05/05/20,FPHPC,495,496,495,496,50.00,,,
05/05/20,FRUIT,1.46,1.48,1.41,1.42,"9,100,000.00",,,
05/05/20,GEO,0.206,0.208,0.203,0.206,"530,000.00",,,
05/05/20,GERI,0.81,0.85,0.81,0.81,"195,000.00",,,
05/05/20,GLO,"2,196.00","2,258.00","2,182.00","2,258.00","38,710.00",,,
05/05/20,GMA7,4.8,4.84,4.7,4.84,"265,000.00",,,
05/05/20,GREEN,1.28,1.29,1.21,1.22,"2,440,000.00",,,
05/05/20,GSMI,31.9,32.3,31.05,31.6,"42,300.00",,,
05/05/20,GTCAP,451.8,451.8,433.4,435.2,"108,570.00",,,
05/05/20,HI,3.63,3.69,3.62,3.69,"23,000.00",,,
05/05/20,HLCM,11.3,11.56,11.3,11.5,"214,900.00",,,
05/05/20,HOME,6.18,6.2,5.8,5.95,"3,570,000.00",,,
05/05/20,HOUSE,10.9,10.9,10.68,10.68,3000K,,,
05/05/20,HVN,315,324,307,307,140.00,,,
05/05/20,I,0.95,0.95,0.87,0.91,"9,000.00",,,
05/05/20,ICT,88.6,88.85,85,88.3,"2,030,000.00",,,
05/05/20,IDC,2.13,2.19,2.03,2.14,"6,850,000.00",,,
05/05/20,IMI,5.89,5.89,5.46,5.56,"916,100.00",,,
05/05/20,ION,1.2,1.2,1.14,1.18,"429,000.00",,,
05/05/20,IPO,8.38,8.38,8.38,8.38,400.00,,,
05/05/20,IRC,0.88,0.88,0.8,0.83,"769,000.00",,,
05/05/20,IS,0.08,0.08,0.08,0.08,"430,000.00",,,
05/05/20,JFC,143.1,143.1,137,138.2,"1,250,000.00",,,
05/05/20,JGS,49.8,49.8,48.5,49.5,"1,240,000.00",,,
05/05/20,KPPI,7.88,7.88,7.5,7.73,"30,400.00",,,
05/05/20,LBC,13.6,13.7,13.6,13.7,600.00,,,
05/05/20,LC,0.081,0.083,0.08,0.081,"3,490,000.00",,,
05/05/20,LCB,0.085,0.085,0.084,0.084,"310,000.00",,,
05/05/20,LIHC,0.48,0.485,0.475,0.485,"80,000.00",,,
05/05/20,LOTO,1.75,2.14,1.75,2,"618,000.00",,,
05/05/20,LPZ,2.62,2.64,2.47,2.57,"5,840,000.00",,,
05/05/20,LR,1.58,1.63,1.5,1.52,"343,000.00",,,
05/05/20,LRW,0.8,0.8,0.73,0.73,"10,000.00",,,
05/05/20,LSC,0.78,0.78,0.72,0.72,"41,000.00",,,
05/05/20,LTG,7.75,7.75,7.55,7.64,"1,310,000.00",,,
05/05/20,MA,0.0066,0.0066,0.0066,0.0066,"1,000,000.00",,,
05/05/20,MAC,4.7,4.8,4.35,4.55,"15,800,000.00",,,
05/05/20,MACAY,6.66,6.83,6.32,6.82,"14,800.00",,,
05/05/20,MAH,2.6,2.67,2.48,2.56,"6,290,000.00",,,
05/05/20,MAHB,2.75,2.75,2.58,2.61,"28,000.00",,,
05/05/20,MAXS,6.57,6.57,6.21,6.27,"1,230,000.00",,,
05/05/20,MB,0.37,0.37,0.35,0.355,"100,000.00",,,
05/05/20,MBC,10.96,10.96,10.74,10.74,"2,000.00",,,
05/05/20,MBT,38.5,38.8,37.05,37.05,"6,640,000.00",,,
05/05/20,MED,0.325,0.35,0.3,0.32,"2,110,000.00",,,
05/05/20,MEG,2.59,2.59,2.52,2.52,"17,160,000.00",,,
05/05/20,MER,255,257.8,252.8,254.6,"281,040.00",,,
05/05/20,MG,0.14,0.14,0.126,0.126,"80,000.00",,,
05/05/20,MHC,0.53,0.53,0.53,0.53,"16,000.00",,,
05/05/20,MPI,2.55,2.55,2.5,2.51,"39,290,000.00",,,
05/05/20,MRC,0.169,0.169,0.16,0.16,"9,000,000.00",,,
05/05/20,MRSGI,1.89,1.89,1.75,1.8,"2,510,000.00",,,
05/05/20,MVC,3.54,3.54,3.54,3.54,"6,000.00",,,
05/05/20,MWC,10.6,10.6,10.44,10.46,"2,820,000.00",,,
05/05/20,MWIDE,6.5,6.5,6.21,6.21,"2,330,000.00",,,
05/05/20,NI,0.92,1.06,0.92,0.95,"169,000.00",,,
05/05/20,NIKL,1.66,1.67,1.54,1.6,"12,890,000.00",,,
05/05/20,NOW,1.92,1.92,1.81,1.82,"2,260,000.00",,,
05/05/20,NRCP,0.64,0.64,0.62,0.62,"6,000.00",,,
05/05/20,OPMB,0.0086,0.0095,0.0086,0.0095,"16,000,000.00",,,
05/05/20,ORE,0.49,0.51,0.49,0.5,"122,000.00",,,
05/05/20,OV,0.0084,0.0084,0.0084,0.0084,"1,000,000.00",,,
05/05/20,PAL,7.19,7.2,6.7,7.19,"17,200.00",,,
05/05/20,PAX,2.09,2.1,2.06,2.06,"19,000.00",,,
05/05/20,PCOR,3.21,3.21,3.15,3.17,"2,700,000.00",,,
05/05/20,PERC,2.42,2.5,2.42,2.5,"61,000.00",,,
05/05/20,PGOLD,46.3,46.75,45.75,45.8,"3,610,000.00",,,
05/05/20,PHA,0.255,0.255,0.23,0.24,"13,770,000.00",,,
05/05/20,PHES,0.33,0.33,0.3,0.31,"430,000.00",,,
05/05/20,PHN,8.82,8.86,8.25,8.86,"2,600.00",,,
05/05/20,PHR,2.81,2.87,2.79,2.87,"19,000.00",,,
05/05/20,PIP,1.9,1.91,1.9,1.91,"316,000.00",,,
05/05/20,PIZZA,6.68,6.68,6.3,6.4,"1,770,000.00",,,
05/05/20,PLC,0.315,0.315,0.305,0.315,"7,850,000.00",,,
05/05/20,PMPC,3.83,3.83,3.83,3.83,"4,000.00",,,
05/05/20,PNB,23.5,23.5,22.8,22.85,"252,400.00",,,
05/05/20,PNX,11.5,11.8,11.18,11.8,"522,600.00",,,
05/05/20,PNX3B,101,101,101,101,500.00,,,
05/05/20,PNX4,"1,000.00","1,000.00","1,000.00","1,000.00",20.00,,,
05/05/20,PPC,4.23,4.23,4.23,4.23,"14,000.00",,,
05/05/20,PRF3A,"1,012.00","1,015.00","1,012.00","1,015.00","2,050.00",,,
05/05/20,PRIM,0.82,0.82,0.77,0.81,"348,000.00",,,
05/05/20,PRMX,1.48,1.5,1.43,1.5,"62,000.00",,,
05/05/20,PSB,43.1,43.25,43,43,"1,900.00",,,
05/05/20,PSE,168.8,168.9,164,168.9,120.00,,,
05/05/20,PX,2.34,2.39,2.31,2.31,"275,000.00",,,
05/05/20,PXP,4.35,4.35,4.15,4.22,"1,210,000.00",,,
05/05/20,RCB,16.6,16.6,16.5,16.5,"550,200.00",,,
05/05/20,RCI,1.65,1.65,1.57,1.62,"115,000.00",,,
05/05/20,REG,2.36,2.36,2.35,2.35,"6,000.00",,,
05/05/20,RFM,4.49,4.49,4.34,4.35,"793,000.00",,,
05/05/20,RLC,15,15,14.02,14.02,"2,730,000.00",,,
05/05/20,RLT,0.247,0.247,0.246,0.246,"50,000.00",,,
05/05/20,ROCK,1.52,1.53,1.5,1.52,"174,000.00",,,
05/05/20,ROX,1.44,1.49,1.44,1.49,"31,000.00",,,
05/05/20,RRHI,67,67.05,64.7,65,"472,340.00",,,
05/05/20,SBS,5.6,5.8,5.6,5.8,"1,300.00",,,
05/05/20,SCC,12.02,12.5,12,12.1,"757,300.00",,,
05/05/20,SECB,103.5,105.9,101,102,"566,320.00",,,
05/05/20,SEVN,125,128,125,128,"17,180.00",,,
05/05/20,SFI,0.117,0.117,0.11,0.11,"310,000.00",,,
05/05/20,SGI,0.94,0.96,0.94,0.95,"523,000.00",,,
05/05/20,SGP,160.1,168.5,151,166.1,"4,810.00",,,
05/05/20,SHLPH,18.56,18.6,18.4,18.52,"544,100.00",,,
05/05/20,SHNG,2.7,2.72,2.7,2.7,"288,000.00",,,
05/05/20,SLF,"1,560.00","1,560.00","1,550.00","1,550.00",60.00,,,
05/05/20,SLI,1.94,1.94,1.88,1.92,"33,000.00",,,
05/05/20,SM,822,822.5,796,822,"170,040.00",,,
05/05/20,SMC,97.75,97.75,96.5,96.75,"345,870.00",,,
05/05/20,SMC2C,76.9,76.9,76.9,76.9,"3,720.00",,,
05/05/20,SMC2D,74.9,74.9,74.9,74.9,"28,000.00",,,
05/05/20,SMC2E,75,75,75,75,"3,000.00",,,
05/05/20,SMC2F,75.5,75.5,75.5,75.5,"23,020.00",,,
05/05/20,SMC2I,75,75.5,75,75,"2,040.00",,,
05/05/20,SMPH,29.25,30.4,28.75,30.4,"8,940,000.00",,,
05/05/20,SOC,0.64,0.67,0.63,0.67,"28,000.00",,,
05/05/20,SPC,7.97,7.97,7.89,7.9,"29,800.00",,,
05/05/20,SSI,1.34,1.34,1.21,1.26,"6,350,000.00",,,
05/05/20,SSP,1.22,1.22,1.11,1.15,"2,200,000.00",,,
05/05/20,STI,0.34,0.345,0.34,0.34,"4,430,000.00",,,
05/05/20,STR,3.98,4.04,3.89,4,"163,000.00",,,
05/05/20,SUN,1.29,1.29,1.18,1.19,"3,260,000.00",,,
05/05/20,T,0.85,0.87,0.82,0.87,"31,000.00",,,
05/05/20,TBGI,0.2,0.204,0.181,0.193,"3,040,000.00",,,
05/05/20,TECH,8.98,8.98,8.55,8.59,"3,550,000.00",,,
05/05/20,TEL,"1,260.00","1,260.00","1,222.00","1,259.00","177,190.00",,,
05/05/20,TFC,45,45,45,45,400.00,,,
05/05/20,TFHI,140,140,138,138,"2,530.00",,,
05/05/20,TUGS,0.91,0.91,0.87,0.87,"265,000.00",,,
05/05/20,UBP,54,54.7,53.5,53.5,"18,320.00",,,
05/05/20,URC,123.2,124,121.5,122.4,"1,600,000.00",,,
05/05/20,VITA,0.84,0.84,0.8,0.8,"6,400,000.00",,,
05/05/20,VLL,4.37,4.4,4.02,4.03,"3,440,000.00",,,
05/05/20,VMC,2.49,2.49,2.49,2.49,"16,000.00",,,
05/05/20,VUL,0.71,0.71,0.67,0.67,"3,130,000.00",,,
05/05/20,WEB,2.62,2.89,2.62,2.75,"23,170,000.00",,,
05/05/20,WIN,0.176,0.187,0.176,0.187,"40,000.00",,,
05/05/20,WLCON,14.68,14.68,14,14.3,"6,820,000.00",,,
05/05/20,WPI,0.395,0.415,0.395,0.415,"190,000.00",,,
05/05/20,X,0.63,0.64,0.6,0.62,"1,140,000.00",,,
05/05/20,ZHI,0.161,0.161,0.16,0.16,"330,000.00",,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
